id,sex,cross_direction
1,m,(BxS)x(BxS)
2,m,(BxS)x(BxS)
3,m,(BxS)x(BxS)
4,m,(BxS)x(BxS)
5,m,(BxS)x(BxS)
6,m,(BxS)x(BxS)
7,m,(BxS)x(BxS)
8,m,(BxS)x(BxS)
9,m,(BxS)x(BxS)
10,m,(BxS)x(BxS)
11,m,(BxS)x(BxS)
12,m,(BxS)x(BxS)
13,m,(BxS)x(BxS)
14,m,(BxS)x(BxS)
15,m,(BxS)x(BxS)
16,m,(BxS)x(BxS)
17,m,(BxS)x(BxS)
18,m,(BxS)x(BxS)
19,m,(BxS)x(BxS)
20,m,(BxS)x(BxS)
21,m,(BxS)x(BxS)
22,m,(BxS)x(BxS)
23,m,(BxS)x(BxS)
24,m,(BxS)x(BxS)
25,m,(BxS)x(BxS)
26,m,(BxS)x(BxS)
27,m,(BxS)x(BxS)
28,m,(BxS)x(BxS)
29,m,(BxS)x(BxS)
30,m,(BxS)x(BxS)
31,m,(BxS)x(BxS)
32,m,(BxS)x(BxS)
33,m,(BxS)x(BxS)
34,m,(BxS)x(BxS)
35,m,(BxS)x(BxS)
36,m,(BxS)x(BxS)
37,m,(BxS)x(BxS)
38,m,(BxS)x(BxS)
39,m,(BxS)x(BxS)
40,m,(BxS)x(BxS)
41,m,(BxS)x(BxS)
42,m,(BxS)x(BxS)
43,m,(BxS)x(BxS)
44,m,(BxS)x(BxS)
45,m,(BxS)x(BxS)
46,m,(BxS)x(BxS)
47,m,(BxS)x(BxS)
48,m,(BxS)x(BxS)
49,m,(BxS)x(BxS)
50,m,(BxS)x(BxS)
51,m,(BxS)x(BxS)
52,m,(BxS)x(BxS)
53,m,(BxS)x(BxS)
54,m,(BxS)x(BxS)
55,m,(BxS)x(BxS)
56,m,(BxS)x(BxS)
57,m,(BxS)x(BxS)
58,m,(BxS)x(BxS)
59,m,(BxS)x(BxS)
60,m,(BxS)x(BxS)
61,m,(BxS)x(BxS)
62,m,(BxS)x(BxS)
63,m,(BxS)x(BxS)
64,m,(BxS)x(BxS)
65,m,(BxS)x(BxS)
66,m,(BxS)x(BxS)
67,m,(BxS)x(BxS)
68,m,(BxS)x(BxS)
69,m,(BxS)x(BxS)
70,m,(BxS)x(BxS)
71,m,(SxB)x(SxB)
72,m,(SxB)x(SxB)
73,m,(SxB)x(SxB)
74,m,(SxB)x(SxB)
75,m,(SxB)x(SxB)
76,m,(SxB)x(SxB)
77,m,(SxB)x(SxB)
78,m,(SxB)x(SxB)
79,m,(SxB)x(SxB)
80,m,(SxB)x(SxB)
81,m,(SxB)x(SxB)
82,m,(SxB)x(SxB)
83,m,(SxB)x(SxB)
84,m,(SxB)x(SxB)
85,m,(SxB)x(SxB)
86,m,(SxB)x(SxB)
87,m,(SxB)x(SxB)
88,m,(SxB)x(SxB)
89,m,(SxB)x(SxB)
90,m,(SxB)x(SxB)
91,m,(SxB)x(SxB)
92,m,(SxB)x(SxB)
93,m,(SxB)x(SxB)
94,m,(SxB)x(SxB)
95,m,(SxB)x(SxB)
96,m,(SxB)x(SxB)
97,m,(SxB)x(SxB)
98,m,(SxB)x(SxB)
99,m,(SxB)x(SxB)
100,m,(SxB)x(SxB)
101,m,(SxB)x(SxB)
102,m,(SxB)x(SxB)
103,m,(SxB)x(SxB)
104,m,(SxB)x(SxB)
105,m,(SxB)x(SxB)
106,m,(SxB)x(SxB)
107,m,(SxB)x(SxB)
108,m,(SxB)x(SxB)
109,m,(SxB)x(SxB)
110,m,(SxB)x(SxB)
111,m,(SxB)x(SxB)
112,m,(SxB)x(SxB)
113,m,(SxB)x(SxB)
114,m,(SxB)x(SxB)
115,m,(SxB)x(SxB)
116,m,(SxB)x(SxB)
117,m,(SxB)x(SxB)
118,m,(SxB)x(SxB)
119,m,(SxB)x(SxB)
120,m,(SxB)x(SxB)
121,m,(SxB)x(SxB)
122,m,(SxB)x(SxB)
123,m,(SxB)x(SxB)
124,m,(SxB)x(SxB)
125,m,(SxB)x(SxB)
126,m,(SxB)x(SxB)
127,m,(SxB)x(SxB)
128,m,(SxB)x(SxB)
129,m,(SxB)x(SxB)
130,m,(SxB)x(SxB)
131,m,(SxB)x(SxB)
132,m,(SxB)x(SxB)
133,m,(SxB)x(SxB)
134,m,(SxB)x(SxB)
135,m,(SxB)x(SxB)
136,m,(SxB)x(SxB)
137,m,(SxB)x(SxB)
138,m,(SxB)x(SxB)
139,m,(SxB)x(SxB)
140,m,(SxB)x(SxB)
141,m,(SxB)x(SxB)
142,m,(SxB)x(SxB)
143,m,(SxB)x(SxB)
144,m,(SxB)x(SxB)
145,m,(SxB)x(SxB)
146,f,(BxS)x(BxS)
147,f,(BxS)x(BxS)
148,f,(BxS)x(BxS)
149,f,(BxS)x(BxS)
150,f,(BxS)x(BxS)
151,f,(BxS)x(BxS)
152,f,(BxS)x(BxS)
153,f,(BxS)x(BxS)
154,f,(BxS)x(BxS)
155,f,(BxS)x(BxS)
156,f,(BxS)x(BxS)
157,f,(BxS)x(BxS)
158,f,(BxS)x(BxS)
159,f,(BxS)x(BxS)
160,f,(BxS)x(BxS)
161,f,(BxS)x(BxS)
162,f,(BxS)x(BxS)
163,f,(BxS)x(BxS)
164,f,(BxS)x(BxS)
165,f,(BxS)x(BxS)
166,f,(BxS)x(BxS)
167,f,(BxS)x(BxS)
168,f,(BxS)x(BxS)
169,f,(BxS)x(BxS)
