pheno,times
T0,0
T2,0.0333333333333333
T4,0.0666666666666667
T6,0.1
T8,0.133333333333333
T10,0.166666666666667
T12,0.2
T14,0.233333333333333
T16,0.266666666666667
T18,0.3
T20,0.333333333333333
T22,0.366666666666667
T24,0.4
T26,0.433333333333333
T28,0.466666666666667
T30,0.5
T32,0.533333333333333
T34,0.566666666666667
T36,0.6
T38,0.633333333333333
T40,0.666666666666667
T42,0.7
T44,0.733333333333333
T46,0.766666666666667
T48,0.8
T50,0.833333333333333
T52,0.866666666666667
T54,0.9
T56,0.933333333333333
T58,0.966666666666667
T60,1
T62,1.03333333333333
T64,1.06666666666667
T66,1.1
T68,1.13333333333333
T70,1.16666666666667
T72,1.2
T74,1.23333333333333
T76,1.26666666666667
T78,1.3
T80,1.33333333333333
T82,1.36666666666667
T84,1.4
T86,1.43333333333333
T88,1.46666666666667
T90,1.5
T92,1.53333333333333
T94,1.56666666666667
T96,1.6
T98,1.63333333333333
T100,1.66666666666667
T102,1.7
T104,1.73333333333333
T106,1.76666666666667
T108,1.8
T110,1.83333333333333
T112,1.86666666666667
T114,1.9
T116,1.93333333333333
T118,1.96666666666667
T120,2
T122,2.03333333333333
T124,2.06666666666667
T126,2.1
T128,2.13333333333333
T130,2.16666666666667
T132,2.2
T134,2.23333333333333
T136,2.26666666666667
T138,2.3
T140,2.33333333333333
T142,2.36666666666667
T144,2.4
T146,2.43333333333333
T148,2.46666666666667
T150,2.5
T152,2.53333333333333
T154,2.56666666666667
T156,2.6
T158,2.63333333333333
T160,2.66666666666667
T162,2.7
T164,2.73333333333333
T166,2.76666666666667
T168,2.8
T170,2.83333333333333
T172,2.86666666666667
T174,2.9
T176,2.93333333333333
T178,2.96666666666667
T180,3
T182,3.03333333333333
T184,3.06666666666667
T186,3.1
T188,3.13333333333333
T190,3.16666666666667
T192,3.2
T194,3.23333333333333
T196,3.26666666666667
T198,3.3
T200,3.33333333333333
T202,3.36666666666667
T204,3.4
T206,3.43333333333333
T208,3.46666666666667
T210,3.5
T212,3.53333333333333
T214,3.56666666666667
T216,3.6
T218,3.63333333333333
T220,3.66666666666667
T222,3.7
T224,3.73333333333333
T226,3.76666666666667
T228,3.8
T230,3.83333333333333
T232,3.86666666666667
T234,3.9
T236,3.93333333333333
T238,3.96666666666667
T240,4
T242,4.03333333333333
T244,4.06666666666667
T246,4.1
T248,4.13333333333333
T250,4.16666666666667
T252,4.2
T254,4.23333333333333
T256,4.26666666666667
T258,4.3
T260,4.33333333333333
T262,4.36666666666667
T264,4.4
T266,4.43333333333333
T268,4.46666666666667
T270,4.5
T272,4.53333333333333
T274,4.56666666666667
T276,4.6
T278,4.63333333333333
T280,4.66666666666667
T282,4.7
T284,4.73333333333333
T286,4.76666666666667
T288,4.8
T290,4.83333333333333
T292,4.86666666666667
T294,4.9
T296,4.93333333333333
T298,4.96666666666667
T300,5
T302,5.03333333333333
T304,5.06666666666667
T306,5.1
T308,5.13333333333333
T310,5.16666666666667
T312,5.2
T314,5.23333333333333
T316,5.26666666666667
T318,5.3
T320,5.33333333333333
T322,5.36666666666667
T324,5.4
T326,5.43333333333333
T328,5.46666666666667
T330,5.5
T332,5.53333333333333
T334,5.56666666666667
T336,5.6
T338,5.63333333333333
T340,5.66666666666667
T342,5.7
T344,5.73333333333333
T346,5.76666666666667
T348,5.8
T350,5.83333333333333
T352,5.86666666666667
T354,5.9
T356,5.93333333333333
T358,5.96666666666667
T360,6
T362,6.03333333333333
T364,6.06666666666667
T366,6.1
T368,6.13333333333333
T370,6.16666666666667
T372,6.2
T374,6.23333333333333
T376,6.26666666666667
T378,6.3
T380,6.33333333333333
T382,6.36666666666667
T384,6.4
T386,6.43333333333333
T388,6.46666666666667
T390,6.5
T392,6.53333333333333
T394,6.56666666666667
T396,6.6
T398,6.63333333333333
T400,6.66666666666667
T402,6.7
T404,6.73333333333333
T406,6.76666666666667
T408,6.8
T410,6.83333333333333
T412,6.86666666666667
T414,6.9
T416,6.93333333333333
T418,6.96666666666667
T420,7
T422,7.03333333333333
T424,7.06666666666667
T426,7.1
T428,7.13333333333333
T430,7.16666666666667
T432,7.2
T434,7.23333333333333
T436,7.26666666666667
T438,7.3
T440,7.33333333333333
T442,7.36666666666667
T444,7.4
T446,7.43333333333333
T448,7.46666666666667
T450,7.5
T452,7.53333333333333
T454,7.56666666666667
T456,7.6
T458,7.63333333333333
T460,7.66666666666667
T462,7.7
T464,7.73333333333333
T466,7.76666666666667
T468,7.8
T470,7.83333333333333
T472,7.86666666666667
T474,7.9
T476,7.93333333333333
T478,7.96666666666667
T480,8
