marker,chr,pos
D1Mit18,1,27.3
D1Mit80,1,51.4
D1Mit17,1,110.4
D2Mit379,2,38.3
D2Mit75,2,48.1
D2Mit17,2,56.8
D2Mit304,2,58.0
D2Mit48,2,73.2
D3Mit22,3,25.1
D3Mit18,3,54.6
D4Mit2,4,10.9
D4Mit352,4,53.6
D5Mit11,5,17.5
D5Mit30,5,62.3
D6Mit104,6,41.5
D6Mit15,6,66.7
D7Mit74,7,1.1
D7Mit25,7,13.1
D7Nds5,7,23.0
D7mit30,7,28.4
D7Mit31,7,31.7
D7Mit17,7,37.2
D7Mit71,7,53.6
D8Mit124,8,0.0
D8Mit4,8,13.6
D8Mit195,8,17.3
D8Mit31,8,32.7
D8Mit294,8,39.1
D8Mit40,8,45.5
D8Mit120,8,69.9
D8Mit36,8,75.3
D9Mit42,9,6.6
D9Mit31,9,33.9
D9Mit10,9,43.7
D9Mit182,9,53.6
D9Mit17,9,61.2
D10Mit61,10,24.0
D10Mit70,10,57.9
D11Mit20,11,0.0
D11Mit4,11,16.4
D11Mit36,11,28.2
D11Mit41,11,32.3
D11Mit288,11,36.2
D8Mit18,11,42.2
D11Mit101,11,56.9
D12Mit88,12,19.7
D12Mit134,12,57.9
D13Mit10,13,17.5
D13Mit51,13,40.4
D14Mit54,14,19.7
D14Mit195,14,52.5
D15Mit22,15,16.4
D15Mit159,15,49.2
D16Mit131,16,6.6
D16Mit4,16,25.1
D16Mit30,16,30.6
D16Mit19,16,40.4
D16Mit70,16,51.4
D17Mit46,17,3.3
D17Mit93,17,39.3
D18Mit20,18,4.4
D18Mit186,18,30.6
D19Mit68,19,3.3
D19Mit37,19,38.3
DXMit16,X,29.5
DXMit186,X,57.9
