marker,chr,pos
PVV4,1,0.000000
AXR-1,1,6.250674
HH.335C-Col/PhyA,1,9.303868
EC.480C,1,12.577629
EC.66C,1,18.392830
GD.86L,1,19.648542
CH.160L-Col,1,25.232290
CC.98L-Col/101C,1,25.882095
AD.121C,1,35.669554
AD.106L-Col,1,36.631747
GB.112L,1,44.511901
GD.97L,1,50.602339
EG.113L/115C,1,53.631519
CD.89C,1,57.405778
BF.206L-Col,1,62.323561
CH.200C,1,67.240620
EC.88C,1,72.296762
GD.160C,1,76.255226
HH.375L,1,81.273196
CH.215L,1,81.900811
BF.116C,1,88.639045
GH.157L-Col,1,90.914789
CC.318C,1,97.121385
CD.173L/175C-Col,1,99.711975
GH.127L-Col/ADH,1,104.806120
HH.360L-Col,1,109.519692
AD.156C,2,0.000000
BF.325L,2,6.241796
GH.580L,2,11.678237
DF.225L,2,12.929907
AD.77L,2,13.236577
CH.266C,2,13.543342
CH.610C,2,13.543344
HH.258C,2,13.543345
BH.145C,2,13.543347
BF.226C/BH.58L,2,14.160663
FD.226C,2,14.160665
GD.145C,2,14.160666
GH.94L,2,14.160668
BF.82C,2,14.160669
GD.465C,2,14.160671
FD.306L,2,14.160672
EC.495C-Col,2,14.777988
BH.460L,2,14.777990
FD.81L,2,16.350906
BF.105C,2,17.282463
CH.284C,2,19.850147
FD.222L-Col,2,23.453866
CD.245L,2,25.685576
EG.66L,2,25.685578
CH.65C,2,27.258244
CH.1500C,2,30.511191
BF.221L,2,31.128921
FD.85C,2,35.085099
GB.150L-Col,2,37.651404
FD.150C,2,39.551472
GD.460L-Col,2,41.451601
CC.332C,2,41.451603
Erecta,2,42.701883
CH.145L-Col/150C,2,42.701885
AD.191L-Col,2,47.017178
BH.195L-Col,2,47.017180
GD.298C,2,47.638238
GH.247L,2,49.221621
BH.120L-Col,2,52.147810
DF.140C,2,55.429739
EG.357C/359L-Col,2,62.530946
EC.235L-Col/247C,2,62.530948
DF.77C,3,0.000000
GB.120C-Col,3,2.613844
GD.248C-Col/249L,3,7.032127
EG.75L,3,7.343692
