marker,chr,pos
D1Mit18,1,52.418656
D1Mit80,1,86.377953
D1Mit17,1,189.571337
D2Mit379,2,37.451062
D2Mit75,2,80.584782
D2Mit17,2,122.814162
D2Mit304,2,128.331842
D2Mit48,2,156.124744
D3Mit22,3,69.718294
D3Mit18,3,147.744866
D4Mit2,4,25.683334
D4Mit352,4,115.55908
D5Mit11,5,47.867036
D5Mit30,5,129.55547
D6Mit104,6,110.959994
D6Mit15,6,146.429112
D7Mit74,7,11.289506
D7Mit25,7,36.868485
D7Nds5,7,44.201096
D7mit30,7,81.48579
D7Mit31,7,87.49405
D7Mit17,7,108.883869
D7Mit71,7,131.025211
D8Mit124,8,14.723224
D8Mit4,8,32.016622
D8Mit195,8,39.624148
D8Mit31,8,71.287905
D8Mit294,8,82.491410
D8Mit40,8,93.694916
D8Mit120,8,118.341574
D8Mit36,8,121.307304
D9Mit42,9,29.321128
D9Mit31,9,63.784376
D9Mit10,9,89.977078
D9Mit182,9,101.52887
D9Mit17,9,115.121886
D10Mit61,10,66.866859
D10Mit70,10,104.073296
D11Mit20,11,44.739268
D11Mit4,11,68.60938
D11Mit36,11,83.84271
D11Mit41,11,89.076045
D11Mit288,11,94.563502
D8Mit18,11,100.143142
D11Mit101,11,112.653628
D12Mit88,12,54.638938
D12Mit134,12,114.867942
D13Mit10,13,49.726004
D13Mit51,13,104.469568
D14Mit54,14,35.323906
D14Mit195,14,87.983848
D15Mit22,15,37.781003
D15Mit159,15,87.465142
D16Mit131,16,7.319112
D16Mit4,16,36.240552
D16Mit30,16,53.962626
D16Mit19,16,78.811816
D16Mit70,16,86.209168
D17Mit46,17,25.366058
D17Mit93,17,73.800732
D18Mit20,18,14.702098
D18Mit186,18,72.02048
D19Mit68,19,3.64522
D19Mit37,19,51.426683
DXMit16,X,99.359814
DXMit186,X,165.366226
